Step,AgentID,FirmType,Profit,Inventory,ProductPrice,RevenuePerEmployee,ProductionLevel,NumEmployees,DemandReceived,InventoryDemandRatio,SellThroughRate,ProductionCapacity,Revenue,Costs,Markup,ProducedUnits,UnmetDemand,Capital,IncomeBracket,NumPeople,SpendRatio,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare,SkillLevel,SkillType,JobLevel,IsEmployed,Wage
1,2,necessity,0.0,1291.1000000000001,8.326770845944129,0.0,0.7638904521048683,65.0,0.0,,,12911.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,3,necessity,0.0,1201.6000000000001,5.4406546392321875,0.0,0.7089079049894026,74.0,0.0,,,12016.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,4,necessity,0.0,1678.2,8.434677516848762,0.0,0.8475609149263954,49.0,0.0,,,16782.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,5,necessity,0.0,1359.8000000000002,7.319627317601311,0.0,0.9676473940952907,120.0,0.0,,,13598.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,6,necessity,0.0,1200.3,9.038571059595537,0.0,0.719415765766462,87.0,0.0,,,12003.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,7,necessity,0.0,1594.3000000000002,8.679411320926075,0.0,0.7628485362334481,34.0,0.0,,,15943.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,8,necessity,0.0,1550.1000000000001,8.410258165567612,0.0,0.9871622395214436,42.0,0.0,,,15501.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,9,necessity,0.0,1497.0,5.435163798539385,0.0,0.8224604869001408,34.0,0.0,,,14970.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,10,necessity,0.0,1201.8,10.06681633986008,0.0,0.8021104880725902,94.0,0.0,,,12018.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,11,necessity,0.0,1201.9,5.928064888638139,0.0,0.8261236846673414,112.0,0.0,,,12019.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
