Step,AgentID,FirmType,Profit,Inventory,ProductPrice,RevenuePerEmployee,ProductionLevel,NumEmployees,DemandReceived,InventoryDemandRatio,SellThroughRate,ProductionCapacity,Revenue,Costs,Markup,ProducedUnits,UnmetDemand,Capital,IncomeBracket,NumPeople,SpendRatio,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare,SkillLevel,SkillType,JobLevel,IsEmployed,Wage
1,2,necessity,0.0,1548.3000000000002,5.861665154805319,0.0,0.7051489332630815,67.0,0.0,,,15483.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,3,necessity,0.0,1406.9,8.968868103939624,0.0,0.7632872883560354,37.0,0.0,,,14069.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,4,necessity,0.0,1401.5,10.413989608496422,0.0,0.8367592888627866,68.0,0.0,,,14015.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,5,necessity,0.0,1533.8000000000002,9.913869443567876,0.0,0.78188742366046,99.0,0.0,,,15338.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,6,necessity,0.0,1466.6000000000001,5.7882165773849525,0.0,0.70609242082904,120.0,0.0,,,14666.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,7,necessity,0.0,1653.3000000000002,9.825764396030817,0.0,0.8305552022976608,66.0,0.0,,,16533.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,8,necessity,0.0,1304.6000000000001,10.161616310294955,0.0,0.9861393548088555,71.0,0.0,,,13046.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,9,necessity,0.0,1405.4,8.460131550221364,0.0,0.8835250868250349,38.0,0.0,,,14054.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,10,necessity,0.0,1577.6000000000001,8.110665238958168,0.0,0.7644231141631179,46.0,0.0,,,15776.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
1,11,necessity,0.0,1761.7,7.37196272397147,0.0,0.7524993877481374,83.0,0.0,,,17617.0,0.0,0.0,2.0,0.0,0.0,100000000.0,,,,,,,,,,,,0,
