Step,AgentID,FirmType,Profit,Inventory,ProductPrice,RevenuePerEmployee,ProductionLevel,NumEmployees,EntryWage,DemandReceived,InventoryDemandRatio,SellThroughRate,ProductionCost,ProductionCapacity,Revenue,Costs,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare,SkillLevel,SkillType,JobLevel,IsEmployed,Wage
1,2,necessity,0.0,0.0,0.0,0.0,0.7797965154658496,30.0,20236.0,0.0,,,2.8194766848039143,8891.0,0.0,0.0,,,,,,,,,,,,,0,
1,3,necessity,0.0,0.0,0.0,0.0,0.8142062827820167,69.0,21953.0,0.0,,,4.3826111236137395,6430.0,0.0,0.0,,,,,,,,,,,,,0,
1,4,necessity,0.0,0.0,0.0,0.0,0.7422402908321949,40.0,21637.0,0.0,,,3.306189228240619,4634.0,0.0,0.0,,,,,,,,,,,,,0,
1,5,necessity,0.0,0.0,0.0,0.0,0.8109247814420832,79.0,20648.0,0.0,,,2.876320742769594,8452.0,0.0,0.0,,,,,,,,,,,,,0,
1,6,necessity,0.0,0.0,0.0,0.0,0.9501010170454707,98.0,20931.0,0.0,,,3.823604808206529,4451.0,0.0,0.0,,,,,,,,,,,,,0,
1,7,necessity,0.0,0.0,0.0,0.0,0.745292775700606,34.0,20918.0,0.0,,,3.6316991100813274,6307.0,0.0,0.0,,,,,,,,,,,,,0,
1,8,necessity,0.0,0.0,0.0,0.0,0.9799716877418652,108.0,24351.0,0.0,,,2.0168668744443856,7504.0,0.0,0.0,,,,,,,,,,,,,0,
1,9,necessity,0.0,0.0,0.0,0.0,0.7923479941920679,46.0,20034.0,0.0,,,3.0643311875530204,5533.0,0.0,0.0,,,,,,,,,,,,,0,
1,10,necessity,0.0,0.0,0.0,0.0,0.7854082857779029,30.0,20046.0,0.0,,,3.191165878771783,8002.0,0.0,0.0,,,,,,,,,,,,,0,
1,11,necessity,0.0,0.0,0.0,0.0,0.727113109546248,59.0,23107.0,0.0,,,3.197544843080358,7685.0,0.0,0.0,,,,,,,,,,,,,0,
1,12,necessity,0.0,0.0,0.0,0.0,0.8658443503824542,64.0,22973.0,0.0,,,2.4224647706041385,6868.0,0.0,0.0,,,,,,,,,,,,,0,
1,13,necessity,0.0,0.0,0.0,0.0,0.9893293778861924,84.0,21605.0,0.0,,,2.3473321951028288,5491.0,0.0,0.0,,,,,,,,,,,,,0,
1,14,necessity,0.0,0.0,0.0,0.0,0.9517152276408268,102.0,21850.0,0.0,,,2.3437444376083825,7461.0,0.0,0.0,,,,,,,,,,,,,0,
1,15,necessity,0.0,0.0,0.0,0.0,0.8936609980700482,32.0,23487.0,0.0,,,3.38412464079335,5525.0,0.0,0.0,,,,,,,,,,,,,0,
1,16,necessity,0.0,0.0,0.0,0.0,0.7207212649629192,78.0,20601.0,0.0,,,2.150876437609153,4354.0,0.0,0.0,,,,,,,,,,,,,0,
1,17,necessity,0.0,0.0,0.0,0.0,0.9177095406535813,60.0,21277.0,0.0,,,3.188567509350146,7672.0,0.0,0.0,,,,,,,,,,,,,0,
1,18,necessity,0.0,0.0,0.0,0.0,0.9189273581300175,39.0,22609.0,0.0,,,4.044703463607032,7347.0,0.0,0.0,,,,,,,,,,,,,0,
1,19,necessity,0.0,0.0,0.0,0.0,0.7953461512804021,79.0,23131.0,0.0,,,3.8987974291445564,6731.0,0.0,0.0,,,,,,,,,,,,,0,
1,20,necessity,0.0,0.0,0.0,0.0,0.8510392339454504,87.0,21684.0,0.0,,,2.9430235919241685,5781.0,0.0,0.0,,,,,,,,,,,,,0,
1,21,necessity,0.0,0.0,0.0,0.0,0.9991644893267931,64.0,21484.0,0.0,,,2.274128543069608,6557.0,0.0,0.0,,,,,,,,,,,,,0,
1,22,necessity,0.0,0.0,0.0,0.0,0.7431475717684336,57.0,24407.0,0.0,,,1.9712928240343435,8327.0,0.0,0.0,,,,,,,,,,,,,0,
1,23,necessity,0.0,0.0,0.0,0.0,0.8453097192262353,71.0,24096.0,0.0,,,3.566550524572253,7060.0,0.0,0.0,,,,,,,,,,,,,0,
