,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708002161.877,132910039256.50003,97.97160243407707,346549706.5671118,6287626.876796657,39.05,42.5
3,5075812976053.427,146201043182.15005,95.94320486815415,35321522.16595696,15013148.049572712,39.05,42.5
4,4929631303644.338,160821147500.36508,94.99661933739013,81109506.68932377,19370773.061406888,39.05,42.5
5,4768829271277.408,176903262250.4016,94.59093982420555,101461001.42853723,19115133.435881563,39.05,42.5
6,4591943329301.97,194593588475.4418,94.52332657200812,110255793.44908193,17320274.963306963,39.05,42.5
7,4397367540521.655,214052947322.986,94.32048681541582,91332929.03508522,17799695.127435833,39.05,42.5
8,4183331557943.895,235458242055.2846,94.62474645030426,109582958.9751254,16964745.226018216,39.05,42.5
9,3947889781380.9434,259004066260.81308,94.4895199459094,89721446.67590666,16465492.332941284,39.05,42.5
10,3688902220867.188,284904472886.8944,94.62474645030426,109031858.8242903,16505747.057582313,39.05,42.5
11,3404015465526.361,313394920175.58386,94.59093982420555,87842820.93512999,17717546.06752228,39.05,42.5
12,3090639453805.141,344734412193.1423,94.35429344151454,95052959.27240635,18908454.364398126,39.05,42.5
13,2745923900415.8364,379207853412.45654,94.25287356321839,92570083.69693005,18858803.837235283,39.05,42.5
14,2366733179505.9824,417128638753.7022,94.4895199459094,108517384.6311834,17132502.60232017,39.05,42.5
15,1949620960927.857,458841502629.07245,94.25287356321839,89020738.59023318,16420175.576472586,39.05,42.5
16,1490797599819.247,504725652891.97974,94.0500338066261,111925176.93390778,18141520.462732088,39.05,42.5
17,986091982911.4905,555198218181.1777,93.67816091954023,93506878.11387114,20035984.223167222,39.05,42.5
18,430916174693.85486,610718039999.2955,93.50912778904666,134407660.0753642,22409963.542136002,39.05,42.5
19,-179778889301.64545,488574431999.43646,93.23867478025693,122915087.86781757,22976003.79521236,39.05,42.5
20,-668329971531.2192,390859545599.5492,93.23867478025693,125529207.8240166,23349769.862636764,39.05,42.5
21,-1059165752719.0095,312687636479.63934,93.06964164976335,128007222.36266361,23764411.758962855,39.05,42.5
22,-1371829065283.0728,250150109183.7115,93.00202839756592,116931803.9122764,24323915.57622743,39.05,42.5
23,-1621953368529.7576,200120087346.9692,92.52873563218391,132500361.08512838,25805937.026553873,39.05,42.5
24,-1822049239946.3079,160096069877.57538,92.73157538877619,130468535.67818211,24215930.419043105,39.05,42.5
25,-1982119203680.146,128076855902.0603,92.35970250169034,133165375.629359,26106143.737383682,39.05,42.5
26,-2110171220047.9312,102461484721.64825,92.49492900608519,132634150.58463816,24839534.27509671,39.05,42.5
27,-2212606877311.4893,81969187777.3186,92.19066937119675,141009298.4765217,25827458.090285797,39.05,42.5
28,-2294550604296.884,65575350221.85489,92.22447599729547,133839687.97610214,25460791.923699662,39.05,42.5
29,-2360097721953.4487,52460280177.48392,91.68356997971603,141116391.36088994,28232565.28983674,39.05,42.5
30,-2412530574916.622,41968224141.98714,91.75118323191346,137205090.9872618,27427214.310393687,39.05,42.5
31,-2454471848377.168,33574579313.58971,91.81879648411089,144506823.21258494,26950681.44125009,39.05,42.5
32,-2488020962108.2715,26859663450.87177,92.12305611899933,139937540.68321964,25465582.48619862,39.05,42.5
33,-2514854766975.04,21487730760.69742,91.92021636240703,140462246.901088,25858584.103218935,39.05,42.5
34,-2536316339990.9277,17190184608.557934,91.88640973630832,146426179.32613522,26157744.80975984,39.05,42.5
35,-2553481490277.292,13752147686.846348,91.8526031102096,154599708.15030572,25034322.194053926,39.05,42.5
36,-2567208494205.4795,11001718149.47708,91.81879648411089,150709192.28489465,25143758.65864181,39.05,42.5
37,-2578184224285.006,8801374519.581663,91.68356997971603,140418466.7025578,25988069.950859234,39.05,42.5
38,-2586960219149.08,7041099615.665331,91.68356997971603,148009465.54511487,25379655.507156283,39.05,42.5
39,-2593976213769.0977,5632879692.532265,91.58215010141988,130428184.12122078,25104995.64775659,39.05,42.5
40,-2599584419120.5986,4506303754.025812,91.68356997971603,148364087.95532104,24674341.031108063,39.05,42.5
41,-2604065872529.348,3605043003.2206497,91.51453684922245,138943110.49390715,24850345.276334055,39.05,42.5
42,-2607646739962.5527,2884034402.57652,91.75118323191346,134364322.64823684,24175570.016247436,39.05,42.5
43,-2610507153631.5786,2307227522.061216,91.54834347532116,129773638.77948628,23620733.55070921,39.05,42.5
44,-2612791989102.848,1845782017.6489727,92.0892494929006,120532634.64970481,22392050.791418612,39.05,42.5
45,-2614614142932.831,1476625614.1191783,91.88640973630832,114984433.19140898,23628187.665977787,39.05,42.5
46,-2616067883577.653,1181300491.2953427,91.88640973630832,137463808.43115872,22884969.29716997,39.05,42.5
47,-2617225777246.192,945040393.0362742,91.75118323191346,132596376.6662665,23406822.75631891,39.05,42.5
48,-2618148262074.5957,756032314.4290195,91.88640973630832,128205528.13641113,22555564.632520676,39.05,42.5
49,-2618880334756.579,604825851.5432156,91.54834347532116,135879452.90414858,23959632.445919763,39.05,42.5
50,-2619461744236.957,483860681.2345725,91.88640973630832,137232370.7354135,23416371.165560424,39.05,42.5
51,-2619920816930.717,387088544.987658,91.6159567275186,139965757.30824316,24787987.474727314,39.05,42.5
52,-2620284029820.929,309670835.99012643,91.78498985801217,140217639.43695837,23875654.77545119,39.05,42.5
